lib_name,version,commit_hash,author,commentary,date,link,is_present
ssri,^5.2.2,54799ab9d9ad9114662430b9df388e0d50f6f4b4,Pavel,Travis-variables,2018-12-09T22:27:51+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,af34667de19a8cb7185d9191e59c2ec2fec6cd1e,Kosilo,It-works-I-m-stupid,2018-12-09T22:23:32+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,0f01cff556eee9d3d55a10f5306f1735255cacd1,Pavel,cUrl-is-fucking-shit,2018-12-09T21:04:29+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,a6f493aaed7b01e214f212c0a6af4116700d8a69,Kosilo,Testing-archive-uploads-after-successful-build,2018-12-09T19:42:00+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,9c3c4e5e828647d114f8cfc2d3743e0510d1f726,Pavel,Testing-archive-uploads-after-successful-build,2018-12-09T19:35:17+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,d533959cfce0f0de51bb7cf0e0743ca6c570add2,Kosilo,KARMA-is-with-L-not-Cartographer,2018-12-09T18:33:31+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,269b0a0899259bdf52783bb682f90b88a5aef35c,Pavel,Bug-fix-in-suites-for-KARMA,2018-12-09T18:27:18+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,ace874c0ec9e4df05c7e7210133e99a2846e16b5,Kosilo,Bug-fix-in-after.js-for-KARMA,2018-12-09T17:54:24+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,e8c4b467349062ad582db74c3ca6fcc36f36620e,Pavel,Now-only-Cartographer,2018-12-09T17:49:47+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f1e995da3f5fcacaf4a44ca70b119f9f9399c28c,Kosilo,Sorry-Leaflet-CDN,2018-12-09T17:35:02+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,247c640a2022af234d4c0076e5d2c5d033036612,Pavel,From-window.L-to-window.Cartographer,2018-12-09T17:28:49+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,13a64fc267e12a03dc8629ed25e0da38186f6205,Kosilo,Fail-with-TravisCI-badge,2018-12-09T16:53:36+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,0e10e0ad51ceeba94e2180844df6484211126446,Pavel,Now-Cartographer-at-all,2018-12-09T16:51:24+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,bf5a0d63ed5793b4091fe31ef295997018b30e49,Kosilo,Change-name-and-info-about-forking,2018-12-08T15:10:26+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,2320186b4742f08b7d3d43c556bedf3d965672db,Pavel,Update-package.json,2018-12-08T15:05:20+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,52e359e0d450ba4b7fd76e74aaf47f8bbb46a642,Kosilo,Update-bower.json,2018-12-08T15:04:35+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,4a4a3515000cd2f8ee0759352a8a824b48503873,Pavel,Update-LICENSE,2018-12-08T15:01:53+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,69fb56b65afbbaa0b6c2c1b364241ad29be53443,Kosilo,Added-Leaflet.streetlabels-plugin-6426,2018-12-05T14:49:11+02:00,https://github.com/IntelligentMap/Cartographer,YES
